filename,camera,precision,recall,F1_score,TP,FP,FN
20240720205323.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,1
20240723103144.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240903224856.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,3
20240819220045.jpg,DIOPSIS-421,0.0,0.0,0.0,0,1,9
20240831111213.jpg,DIOPSIS-421,1.0,1.0,1.0,1,0,0
20240904074345.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,1
20240731153230.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240826094325.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240718071556.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,1
20240719181744.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240822231637.jpg,DIOPSIS-389,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2
20240819074258.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240803084007.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240917111651.jpg,DIOPSIS-421,1.0,0.5,0.6666666666666666,1,0,1
20240810114215.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240808101905.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240722102826.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,1
20240814070651.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240710092030.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,1
20240824172231.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240912184007.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240904100622.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240829134221.jpg,DIOPSIS-391,0.0,0.0,0.0,0,1,3
20240809112148.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240811122233.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240913064802.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240725085043.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240720181450.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240903232740.jpg,DIOPSIS-389,0.0,0.0,0.0,0,2,4
20240825094334.jpg,DIOPSIS-421,0.0,0.0,0.0,0,1,1
20240921123002.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240813183910.jpg,DIOPSIS-383,0.0,0.0,0.0,0,1,1
20240727120520.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240810115052.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240907194543.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,1
20240729184315.jpg,DIOPSIS-391,0.0,0.0,0.0,0,1,1
20240903224243.jpg,DIOPSIS-385,1.0,1.0,1.0,1,0,0
20240831211654.jpg,DIOPSIS-387,1.0,1.0,1.0,2,0,0
20240828231105.jpg,DIOPSIS-391,0.2,0.1,0.13333333333333333,1,4,9
20240808235450.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240817132241.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240819131713.jpg,DIOPSIS-388,0.0,0.0,0.0,0,1,1
20240817000146.jpg,DIOPSIS-385,1.0,0.5,0.6666666666666666,1,0,1
20240725204743.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240723112918.jpg,DIOPSIS-384,0.0,0.0,0.0,0,2,2
20240912144111.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240730110310.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240723112013.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,1
